code_etablissement,ville,etablissement,commune,Matiere,Barre,effectif_presents_serie_l,effectif_presents_serie_es,effectif_presents_serie_s,taux_brut_de_reussite_serie_l,taux_brut_de_reussite_serie_es,taux_brut_de_reussite_serie_s,taux_reussite_attendu_serie_l,taux_reussite_attendu_serie_es,taux_reussite_attendu_serie_s,effectif_de_seconde,effectif_de_premiere,taux_acces_brut_seconde_bac,taux_acces_attendu_seconde_bac,taux_acces_brut_premiere_bac,taux_acces_attendu_premiere_bac,taux_brut_de_reussite_total_series,taux_reussite_attendu_total_series
0910626L,ORSAY,LYCEE BLAISE PASCAL,91471,ANGLAIS,224,26,67,206,96,100,98,98,98,98,354,308,83,83,94,94,98,98
0910626L,ORSAY,LYCEE BLAISE PASCAL,91471,EDUCATION,237,26,67,206,96,100,98,98,98,98,354,308,83,83,94,94,98,98
0910627M,SAVIGNY SUR ORGE,LYCEE JEAN BAPTISTE COROT,91589,HIST. GEO.,395,133,139,239,84,90,93,91,95,95,656,624,75,80,86,90,87,92
0910627M,SAVIGNY SUR ORGE,LYCEE JEAN BAPTISTE COROT,91589,DOC LYCEES,71,133,139,239,84,90,93,91,95,95,656,624,75,80,86,90,87,92
0910627M,SAVIGNY SUR ORGE,LYCEE JEAN BAPTISTE COROT,91589,MATHS,299,133,139,239,84,90,93,91,95,95,656,624,75,80,86,90,87,92
0910687C,MASSY,LYCEE FUSTEL DE COULANGES,91377,ECO.GE.MK,1253.2,28,67,136,93,97,94,94,95,96,310,260,81,77,91,90,91,93
0910687C,MASSY,LYCEE FUSTEL DE COULANGES,91377,ANGLAIS,158,28,67,136,93,97,94,94,95,96,310,260,81,77,91,90,91,93
0910687C,MASSY,LYCEE FUSTEL DE COULANGES,91377,NRC,271,28,67,136,93,97,94,94,95,96,310,260,81,77,91,90,91,93
0910687C,MASSY,LYCEE FUSTEL DE COULANGES,91377,HIST. GEO.,120,28,67,136,93,97,94,94,95,96,310,260,81,77,91,90,91,93
0910727W,MASSY,LYCEE PARC DE VILGENIS (GENERAL ET TECHNO.),91377,LET ANGLAI,28,9,33,102,100,94,91,88,93,94,266,306,70,66,83,84,86,89
0910727W,MASSY,LYCEE PARC DE VILGENIS (GENERAL ET TECHNO.),91377,SII.ING.ME,408,9,33,102,100,94,91,88,93,94,266,306,70,66,83,84,86,89
0910727W,MASSY,LYCEE PARC DE VILGENIS (GENERAL ET TECHNO.),91377,LET.HIS.GE,71,9,33,102,100,94,91,88,93,94,266,306,70,66,83,84,86,89
0910727W,MASSY,LYCEE PARC DE VILGENIS (GENERAL ET TECHNO.),91377,ECO.GE.COM,163,9,33,102,100,94,91,88,93,94,266,306,70,66,83,84,86,89
0910727W,MASSY,LYCEE PARC DE VILGENIS (GENERAL ET TECHNO.),91377,E. P. S,401.2,9,33,102,100,94,91,88,93,94,266,306,70,66,83,84,86,89
0910727W,MASSY,LYCEE PARC DE VILGENIS (GENERAL ET TECHNO.),91377,EDUCATION,128,9,33,102,100,94,91,88,93,94,266,306,70,66,83,84,86,89
0910975R,BRETIGNY SUR ORGE,LYCEE JEAN PIERRE TIMBAUD (GENERAL ET TECHNO.),91103,MATHS,130,25,59,47,88,83,87,83,84,89,223,206,51,64,72,76,80,84
0910975R,BRETIGNY SUR ORGE,LYCEE JEAN PIERRE TIMBAUD (GENERAL ET TECHNO.),91103,MATH.SC.PH,1538,25,59,47,88,83,87,83,84,89,223,206,51,64,72,76,80,84
0911021R,BRUNOY,LYCEE FRANCOIS-JOSEPH TALMA,91114,S. V. T.,258,33,82,152,82,84,91,87,92,92,416,361,72,72,83,87,86,91
0911021R,BRUNOY,LYCEE FRANCOIS-JOSEPH TALMA,91114,ANGLAIS,120,33,82,152,82,84,91,87,92,92,416,361,72,72,83,87,86,91
0911021R,BRUNOY,LYCEE FRANCOIS-JOSEPH TALMA,91114,ALLEMAND,278,33,82,152,82,84,91,87,92,92,416,361,72,72,83,87,86,91
0911021R,BRUNOY,LYCEE FRANCOIS-JOSEPH TALMA,91114,E. P. S,265,33,82,152,82,84,91,87,92,92,416,361,72,72,83,87,86,91
0911251R,EVRY,LYCEE PARC DES LOGES,91228,LET MODERN,62,31,116,120,84,79,78,84,86,86,418,416,67,65,77,79,78,81
0911251R,EVRY,LYCEE PARC DES LOGES,91228,ANGLAIS,128,31,116,120,84,79,78,84,86,86,418,416,67,65,77,79,78,81
0911251R,EVRY,LYCEE PARC DES LOGES,91228,MATHS,111,31,116,120,84,79,78,84,86,86,418,416,67,65,77,79,78,81
0911251R,EVRY,LYCEE PARC DES LOGES,91228,ALLEMAND,358,31,116,120,84,79,78,84,86,86,418,416,67,65,77,79,78,81
0911251R,EVRY,LYCEE PARC DES LOGES,91228,PHILO,51.2,31,116,120,84,79,78,84,86,86,418,416,67,65,77,79,78,81
0911346U,STE GENEVIEVE DES BOIS,LYCEE ALBERT EINSTEIN,91549,PHILO,178,40,63,82,90,89,82,84,89,88,341,306,71,71,84,84,84,85
