code_etablissement,ville,etablissement,commune,Matiere,Barre,effectif_presents_serie_l,effectif_presents_serie_es,effectif_presents_serie_s,taux_brut_de_reussite_serie_l,taux_brut_de_reussite_serie_es,taux_brut_de_reussite_serie_s,taux_reussite_attendu_serie_l,taux_reussite_attendu_serie_es,taux_reussite_attendu_serie_s,effectif_de_seconde,effectif_de_premiere,taux_acces_brut_seconde_bac,taux_acces_attendu_seconde_bac,taux_acces_brut_premiere_bac,taux_acces_attendu_premiere_bac,taux_brut_de_reussite_total_series,taux_reussite_attendu_total_series
0781883Y,MAUREPAS,LYCEE DUMONT D URVILLE (GENERAL ET TECHNO.),78383,DOC LYCEES,213,15,46,47,73,85,85,87,86,89,191,194,66,68,80,83,83,86
0781883Y,MAUREPAS,LYCEE DUMONT D URVILLE (GENERAL ET TECHNO.),78383,ECO.GE.FIN,1137,15,46,47,73,85,85,87,86,89,191,194,66,68,80,83,83,86
0781884Z,LIMAY,LYCEE CONDORCET (GENERAL ET TECHNO.),78335,LET MODERN,559.2,23,25,63,83,76,87,81,86,82,278,180,60,67,82,82,82,84
0781884Z,LIMAY,LYCEE CONDORCET (GENERAL ET TECHNO.),78335,S. V. T.,1774,23,25,63,83,76,87,81,86,82,278,180,60,67,82,82,82,84
0781949V,GUYANCOURT,LYCEE DE VILLAROY,78297,EDUCATION,288,16,62,102,81,89,91,94,95,96,277,279,75,74,86,89,88,93
0781949V,GUYANCOURT,LYCEE DE VILLAROY,78297,LET MODERN,240.2,16,62,102,81,89,91,94,95,96,277,279,75,74,86,89,88,93
0781950W,ACHERES,LYCEE LOUISE WEISS (GENERAL ET TECHNO.),78005,HIST. GEO.,118,18,48,48,83,94,90,92,90,90,191,237,67,68,82,81,84,86
0781950W,ACHERES,LYCEE LOUISE WEISS (GENERAL ET TECHNO.),78005,BIOTECHNOL,45,18,48,48,83,94,90,92,90,90,191,237,67,68,82,81,84,86
0781950W,ACHERES,LYCEE LOUISE WEISS (GENERAL ET TECHNO.),78005,ANGLAIS,100,18,48,48,83,94,90,92,90,90,191,237,67,68,82,81,84,86
0781950W,ACHERES,LYCEE LOUISE WEISS (GENERAL ET TECHNO.),78005,LET.HIS.GE,81.2,18,48,48,83,94,90,92,90,90,191,237,67,68,82,81,84,86
0781950W,ACHERES,LYCEE LOUISE WEISS (GENERAL ET TECHNO.),78005,LETT CLASS,170,18,48,48,83,94,90,92,90,90,191,237,67,68,82,81,84,86
0781950W,ACHERES,LYCEE LOUISE WEISS (GENERAL ET TECHNO.),78005,PHILO,126.2,18,48,48,83,94,90,92,90,90,191,237,67,68,82,81,84,86
0781951X,MAGNANVILLE,LYCEE LEOPOLD SEDAR SENGHOR (GENERAL ET TECHNO.),78354,ALLEMAND,338.2,29,81,58,90,88,88,90,86,86,276,242,67,63,83,81,85,84
0781951X,MAGNANVILLE,LYCEE LEOPOLD SEDAR SENGHOR (GENERAL ET TECHNO.),78354,ALLEMAND,338.2,29,81,58,90,88,88,90,86,86,276,242,67,63,83,81,85,84
0781951X,MAGNANVILLE,LYCEE LEOPOLD SEDAR SENGHOR (GENERAL ET TECHNO.),78354,LET ANGLAI,1182,29,81,58,90,88,88,90,86,86,276,242,67,63,83,81,85,84
0781951X,MAGNANVILLE,LYCEE LEOPOLD SEDAR SENGHOR (GENERAL ET TECHNO.),78354,DOC LYCEES,261,29,81,58,90,88,88,90,86,86,276,242,67,63,83,81,85,84
0781951X,MAGNANVILLE,LYCEE LEOPOLD SEDAR SENGHOR (GENERAL ET TECHNO.),78354,HIST. GEO.,35,29,81,58,90,88,88,90,86,86,276,242,67,63,83,81,85,84
0781951X,MAGNANVILLE,LYCEE LEOPOLD SEDAR SENGHOR (GENERAL ET TECHNO.),78354,MATH.SC.PH,107,29,81,58,90,88,88,90,86,86,276,242,67,63,83,81,85,84
0781951X,MAGNANVILLE,LYCEE LEOPOLD SEDAR SENGHOR (GENERAL ET TECHNO.),78354,MATHS,100,29,81,58,90,88,88,90,86,86,276,242,67,63,83,81,85,84
0781951X,MAGNANVILLE,LYCEE LEOPOLD SEDAR SENGHOR (GENERAL ET TECHNO.),78354,ECO.GE.MK,48,29,81,58,90,88,88,90,86,86,276,242,67,63,83,81,85,84
0781951X,MAGNANVILLE,LYCEE LEOPOLD SEDAR SENGHOR (GENERAL ET TECHNO.),78354,ESTH.COSME,58,29,81,58,90,88,88,90,86,86,276,242,67,63,83,81,85,84
0781951X,MAGNANVILLE,LYCEE LEOPOLD SEDAR SENGHOR (GENERAL ET TECHNO.),78354,ESPAGNOL,111,29,81,58,90,88,88,90,86,86,276,242,67,63,83,81,85,84
0781952Y,VILLEPREUX,LYCEE SONIA DELAUNAY (GENERAL ET TECHNO.),78674,S. V. T.,272,25,86,79,92,98,99,94,94,95,314,227,71,77,90,91,97,94
0782132U,ST GERMAIN EN LAYE,LYCEE JEANNE D ALBRET,78551,ESPAGNOL,220,57,174,254,98,97,97,95,97,97,539,472,75,73,92,91,97,97
0782132U,ST GERMAIN EN LAYE,LYCEE JEANNE D ALBRET,78551,MATHS,165,57,174,254,98,97,97,95,97,97,539,472,75,73,92,91,97,97
0782132U,ST GERMAIN EN LAYE,LYCEE JEANNE D ALBRET,78551,S. V. T.,230,57,174,254,98,97,97,95,97,97,539,472,75,73,92,91,97,97
0782132U,ST GERMAIN EN LAYE,LYCEE JEANNE D ALBRET,78551,ANGLAIS,352,57,174,254,98,97,97,95,97,97,539,472,75,73,92,91,97,97
0782539L,MANTES LA JOLIE,LYCEE ST EXUPERY,78361,ECO.GE.FIN,447.2,80,69,70,86,84,83,85,88,81,373,269,65,70,82,85,86,84
0782539L,MANTES LA JOLIE,LYCEE ST EXUPERY,78361,E. P. S,377.2,80,69,70,86,84,83,85,88,81,373,269,65,70,82,85,86,84
